run_name,algorithm,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
KMeans_k4,KMeans,4,0,0.2533,1.8263,6785.55
KMeans_k5,KMeans,5,0,0.2372,1.8105,6622.75
KMeans_k6,KMeans,6,0,0.0908,2.4217,5537.57
KMeans_k7,KMeans,7,0,0.1088,1.8893,7090.93
KMeans_k8,KMeans,8,0,0.0951,1.9562,6486.8
CAH_k4,CAH_ward,4,0,0.2255,1.6781,1460.13
CAH_k5,CAH_ward,5,0,0.235,1.5726,1431.83
CAH_k6,CAH_ward,6,0,0.2491,1.4631,1429.86
CAH_k7,CAH_ward,7,0,0.2488,1.4626,1429.45
CAH_k8,CAH_ward,8,0,0.1888,1.5345,1451.4
DBSCAN_eps2.2089_ms8,DBSCAN,6,1142,0.1834,1.0615,408.9
DBSCAN_eps2.2089_ms10,DBSCAN,5,1212,0.2699,1.0166,497.08
DBSCAN_eps2.6507_ms10,DBSCAN,7,692,0.1276,1.087,195.24
DBSCAN_eps2.6507_ms15,DBSCAN,5,829,0.1305,1.029,216.6
DBSCAN_eps3.0924_ms5,DBSCAN,5,254,0.348,1.1132,270.55
DBSCAN_eps3.0924_ms8,DBSCAN,5,315,0.3431,1.0361,250.74
DBSCAN_eps3.0924_ms10,DBSCAN,4,374,0.3588,1.0472,298.09
DBSCAN_eps3.0924_ms15,DBSCAN,5,453,0.3785,0.9491,238.59
DBSCAN_eps3.5342_ms20,DBSCAN,4,264,0.5232,0.7718,476.01
HDBSCAN_mc8_ms10,HDBSCAN,8,2058,0.1902,1.3007,516.17
HDBSCAN_mc10_ms10,HDBSCAN,8,2058,0.1902,1.3007,516.17
HDBSCAN_mc15_ms8,HDBSCAN,7,1855,0.2001,1.3401,604.73
HDBSCAN_mc15_ms10,HDBSCAN,7,2068,0.1989,1.3092,599.13
HDBSCAN_mc20_ms5,HDBSCAN,8,1264,0.1876,1.5343,586.12
HDBSCAN_mc20_ms8,HDBSCAN,7,1855,0.2001,1.3401,604.73
HDBSCAN_mc20_ms10,HDBSCAN,7,2068,0.1989,1.3092,599.13
HDBSCAN_mc30_ms3,HDBSCAN,8,1080,0.1936,1.6374,623.24
HDBSCAN_mc30_ms5,HDBSCAN,7,1288,0.1965,1.429,674.57
HDBSCAN_mc30_ms8,HDBSCAN,7,1855,0.2001,1.3401,604.73
HDBSCAN_mc30_ms10,HDBSCAN,7,2068,0.1989,1.3092,599.13
HDBSCAN_mc50_ms3,HDBSCAN,7,1113,0.2014,1.5198,714.95
HDBSCAN_mc50_ms5,HDBSCAN,5,1372,0.1943,1.7524,795.43
HDBSCAN_mc50_ms8,HDBSCAN,5,1937,0.1979,1.6176,685.53
HDBSCAN_mc50_ms10,HDBSCAN,4,2205,0.1951,1.8124,699.96
